[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Analysis started at: 2024-11-10 07:37:22 AM
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Callgraph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Value Range Analysis started
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function balanceOf
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function transfer
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function transferFrom
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for Deal
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for Deal
