[INFO] | 2024-11-10 07:38:42 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Analysis started at: 2024-11-10 07:38:42 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Version constraints: ['0.5.7']
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | solc version: v0.5.7
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Processed function transfer
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Generating return summary for approve
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Return summary generated for approve
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Processed function approve
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x9d661f7773be14439b4223f5b516bc7ef67b0369 | Processed function transferFrom
