[INFO] | 2024-11-10 07:42:59 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Analysis started at: 2024-11-10 07:42:59 AM
[INFO] | 2024-11-10 07:43:00 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:43:00 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | solc version: v0.4.21
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Callgraph generation started!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Value Range Analysis started
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for mul
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for mul
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function mul
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for div
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for div
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function div
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for sub
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for sub
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
