[INFO] | 2024-11-10 07:38:35 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Analysis started at: 2024-11-10 07:38:35 AM
[INFO] | 2024-11-10 07:38:35 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:35 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Callgraph generation started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Value Range Analysis started
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for PiggY_BANK
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for PiggY_BANK
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function PiggY_BANK
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function AddMessage
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for Put
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for Put
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function Put
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function Collect
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Range graph generated
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Processed function fallback
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Value Range Analysis took 0.004352 seconds
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Dependency detection started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Dependency detection finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Static Analysis took 1.130968 seconds
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Dependency does not exist
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Analysis finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Analysis took 1.131178 seconds
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x400e115f1be2b646139c298272a43b2cff2b127e | Analysis finished at: 2024-11-10 07:38:36 AM

real	0m3.013s
user	0m3.340s
sys	0m1.645s
