[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Analysis started at: 2024-11-10 07:40:41 AM
[INFO] | 2024-11-10 07:40:49 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:40:49 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | solc version: v0.5.0
[INFO] | 2024-11-10 07:41:00 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:00 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:00 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Range graph generated
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Range graph generated
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Range graph generated
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for f
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for f
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function f
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for setProofType
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for setProofType
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function setProofType
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for setCustomGasPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for setCustomGasPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function setCustomGasPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for getPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for getPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Processed function getPrice
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Generating return summary for randomDS_getSessionPubKeyHash
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x3114b3312417b27a83bfd934764eee363d1e9325 | Return summary generated for randomDS_getSessionPubKeyHash
