[INFO] | 2024-11-10 07:37:51 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Analysis started at: 2024-11-10 07:37:51 AM
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Callgraph generation started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Value Range Analysis started
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for mul
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Return summary generated for mul
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Processed function mul
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for div
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Return summary generated for div
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Processed function div
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for sub
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Return summary generated for sub
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Processed function sub
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for add
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Return summary generated for add
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Processed function add
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Processed function balanceOf
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0x7e433aee8090ee2c8ee3e6aaedfde1b76d776ace | Generating return summary for transfer
