[INFO] | 2024-11-10 08:05:51 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Analysis started at: 2024-11-10 08:05:51 AM
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | solc version: v0.4.19
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Callgraph generation started!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Callgraph generation finished!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Value Range Analysis started
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for transfer
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for transfer
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | State variable assignement do not exist
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Processed function transfer
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for balanceOf
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for balanceOf
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | State variable assignement do not exist
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Processed function balanceOf
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for EtherGet
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for EtherGet
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Range graph generated
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Processed function EtherGet
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for withdrawEther
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for withdrawEther
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | State variable assignement do not exist
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Processed function withdrawEther
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for getTokens
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for getTokens
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | State variable assignement do not exist
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Processed function getTokens
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Generating return summary for withdrawTokens
[INFO] | 2024-11-10 08:05:52 AM | analyzer.0x05a2f46b2409fe46b8c1f87af2508e7aef5aa8fa | Return summary generated for withdrawTokens
