[INFO] | 2024-11-10 08:08:18 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Analysis started at: 2024-11-10 08:08:18 AM
[INFO] | 2024-11-10 08:08:21 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 08:08:21 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | solc version: v0.4.18
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Callgraph generation started!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Callgraph generation finished!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Storage dependency graph generation started!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Value Range Analysis started
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Generating return summary for totalSupply
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Return summary generated for totalSupply
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | State variable assignement do not exist
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Processed function totalSupply
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Generating return summary for balanceOf
[INFO] | 2024-11-10 08:08:23 AM | analyzer.0x2268003d92ff03be6ca6da029f8d8127fd2f617e | Return summary generated for balanceOf
