[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Analysis started at: 2024-11-10 07:38:06 AM
[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Callgraph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Value Range Analysis started
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Processed function constructor
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Generating return summary for Sort
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Return summary generated for Sort
