[INFO] | 2024-11-10 07:39:28 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Analysis started at: 2024-11-10 07:39:28 AM
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | solc version: v0.4.13
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Callgraph generation started!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Value Range Analysis started
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function Owned
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function Crowdsale
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for getCountMembers
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for getCountMembers
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function getCountMembers
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for salesRunning
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for salesRunning
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function salesRunning
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for inState
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for inState
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function inState
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for notClosed
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for notClosed
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function notClosed
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for noAnyReentrancy
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Return summary generated for noAnyReentrancy
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Range graph generated
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Processed function noAnyReentrancy
[INFO] | 2024-11-10 07:39:31 AM | analyzer.0x0acbcc45dde258b18c11b16b06bdc64fd91913ac | Generating return summary for mul
