[INFO] | 2024-11-10 07:37:24 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Analysis started at: 2024-11-10 07:37:24 AM
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Callgraph generation started!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Value Range Analysis started
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Generating return summary for safeSub
[INFO] | 2024-11-10 07:37:26 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Return summary generated for safeSub
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Processed function safeSub
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Generating return summary for safeSub
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Return summary generated for safeSub
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:27 AM | analyzer.0x88355a32a8c5cc399aa09b9d21ebcba935ae5d2f | Processed function safeSub
