[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Analysis started at: 2024-11-10 07:37:41 AM
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | solc version: v0.4.18
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function approve
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for MyAdvancedToken8
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for MyAdvancedToken8
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function MyAdvancedToken8
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for transfer
