[INFO] | 2024-11-10 07:40:10 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Analysis started at: 2024-11-10 07:40:10 AM
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | solc version: v0.4.23
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Callgraph generation started!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Value Range Analysis started
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Generating return summary for mul
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Return summary generated for mul
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Processed function mul
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Generating return summary for div
[INFO] | 2024-11-10 07:40:12 AM | analyzer.0x30f85ebcfac9f6dd69503955e95ab7f55fa3fdec | Return summary generated for div
