[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Analysis started at: 2024-11-10 07:37:57 AM
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Callgraph generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Value Range Analysis started
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Range graph generated
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Range graph generated
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Range graph generated
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function constructor
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for owner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Return summary generated for owner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Processed function owner
[INFO] | 2024-11-10 07:38:00 AM | analyzer.0x530a9cceee0c45f58229ae5c256e414e6df957ad | Generating return summary for transfer
