[INFO] | 2024-11-10 07:39:19 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Analysis started at: 2024-11-10 07:39:19 AM
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:23 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Range graph generated
[INFO] | 2024-11-10 07:39:26 AM | analyzer.0x2cf5694906bdd80f33bac7cb80183f1c61bc5be2 | Processed function slitherConstructorConstantVariables
