[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Range graph generated
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for previousstageloser
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for previousstageloser
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function previousstageloser
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for previousstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for previousstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function previousstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for previousstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for previousstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function previousstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for currentstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for currentstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function currentstageplayer1
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for currentstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for currentstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function currentstageplayer2
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for playervanity
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for playervanity
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function playervanity
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for jackpotinfo
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Return summary generated for jackpotinfo
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Processed function jackpotinfo
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x479cbe1f6a7fa4d7e304ae983803c46e85ced870 | Generating return summary for checkstatus
