[INFO] | 2024-11-10 07:43:33 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Analysis started at: 2024-11-10 07:43:33 AM
[INFO] | 2024-11-10 07:43:33 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:43:33 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | solc version: v0.4.17
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Callgraph generation started!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Value Range Analysis started
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Range graph generated
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Range graph generated
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function owned
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for init
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for init
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Range graph generated
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function init
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for deposit
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for deposit
