[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Analysis started at: 2024-11-10 07:37:21 AM
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | solc version: v0.4.18
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Callgraph generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Value Range Analysis started
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function Crowdsale
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for afterDeadline
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for afterDeadline
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function afterDeadline
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Range graph generated
