[INFO] | 2024-11-10 07:37:33 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Analysis started at: 2024-11-10 07:37:33 AM
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Callgraph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Value Range Analysis started
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xb25cef763846fe25185de5cf970fdf2ac13fc16d | Processed function transfer
