[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Analysis started at: 2024-11-10 07:38:42 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Generating return summary for Daily
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Return summary generated for Daily
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Processed function Daily
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Processed function fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Value Range Analysis took 0.001954 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Dependency detection started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Static Analysis took 0.885377 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Dependency does not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Analysis finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Analysis took 0.885821 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xde1fa94c7fa043fccf3938f47e9911ca584baed4 | Analysis finished at: 2024-11-10 07:38:43 AM
