[INFO] | 2024-11-13 09:12:33 PM | analyzer.sample | Analysis started at: 2024-11-13 09:12:33 PM
[INFO] | 2024-11-13 09:12:35 PM | analyzer.sample | Version constraints: ['0.4.24']
[INFO] | 2024-11-13 09:12:35 PM | analyzer.sample | solc version: v0.4.24
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Callgraph generation started!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Callgraph generation finished!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Interprocedural CFG generation started!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Interprocedural CFG generation finished!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Storage dependency graph generation started!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Storage dependency graph generation finished!
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Value Range Analysis started
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Generating return summary for withdraw_balances_re_ent8
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Return summary generated for withdraw_balances_re_ent8
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Range graph generated
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Processed function withdraw_balances_re_ent8
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Generating return summary for slither_fn_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Return summary generated for slither_fn_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Range graph generated
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Processed function slither_fn_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Generating return summary for slither
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Return summary generated for slither
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Range graph generated
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Processed function slither
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Generating return summary for slither_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Return summary generated for slither_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Range graph generated
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Processed function slither_2
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Generating return summary for slithera_13
[INFO] | 2024-11-13 09:12:37 PM | analyzer.sample | Return summary generated for slithera_13
