[INFO] | 2024-11-10 07:38:08 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Analysis started at: 2024-11-10 07:38:08 AM
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Callgraph generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Value Range Analysis started
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for C_bAnK
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for C_bAnK
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function C_bAnK
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function AddMessage
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for Put
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for Put
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function Put
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function Collect
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Range graph generated
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Processed function fallback
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Value Range Analysis took 0.004472 seconds
