[INFO] | 2024-11-10 07:41:24 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Analysis started at: 2024-11-10 07:41:24 AM
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | solc version: v0.4.25
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Generating return summary for cb_BANK
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Return summary generated for cb_BANK
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Range graph generated
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Processed function cb_BANK
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x143eea4413231878f58dc812b3dc6f22835a5dd6 | Return summary generated for slitherConstructorVariables
