[INFO] | 2024-11-10 07:46:01 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Analysis started at: 2024-11-10 07:46:01 AM
[INFO] | 2024-11-10 07:46:04 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:46:04 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | solc version: v0.4.23
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Callgraph generation started!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Callgraph generation finished!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Value Range Analysis started
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Range graph generated
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for owner
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for owner
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | State variable assignement do not exist
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function owner
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for addressOf
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for addressOf
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | State variable assignement do not exist
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function addressOf
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Range graph generated
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for getRegistry
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for getRegistry
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | State variable assignement do not exist
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function getRegistry
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Range graph generated
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function constructor
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for size
[WARNING] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Return summary generated for size
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | State variable assignement do not exist
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Processed function size
[INFO] | 2024-11-10 07:46:06 AM | analyzer.0x04797c1ae852a31665d8e512ddae33e6044ef39d | Generating return summary for balanceOf
