[INFO] | 2024-11-10 07:38:35 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Analysis started at: 2024-11-10 07:38:35 AM
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | solc version: v0.4.23
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Range graph generated
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Range graph generated
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Range graph generated
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x15ada2a8e62134806a86db3030fefc0a2a13cc99 | Return summary generated for slitherConstructorConstantVariables
