[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Analysis started at: 2024-11-10 07:37:03 AM
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Range graph generated
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function owned
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function transfer
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0x50f7c95b7e82ea5e0953de8c7ead20a9dd289ec2 | Processed function transferFrom
