[INFO] | 2024-11-10 07:39:04 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Analysis started at: 2024-11-10 07:39:04 AM
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | solc version: v0.5.0
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Range graph generated
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Processed function constructor
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Processed function fallback
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Generating return summary for onlyImplementation
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Return summary generated for onlyImplementation
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Processed function onlyImplementation
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Generating return summary for drain
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Return summary generated for drain
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Processed function drain
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Value Range Analysis took 0.001137 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Dependency detection started!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Static Analysis took 0.842300 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Dependency does not exist
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Analysis finished!
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Analysis took 0.842494 seconds
[INFO] | 2024-11-10 07:39:05 AM | analyzer.0x5db4364cc0959c224f7898d8188413c1f560cf48 | Analysis finished at: 2024-11-10 07:39:05 AM
