[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis started at: 2024-11-10 07:37:50 AM
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Callgraph generation started!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis started
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for ETH_VAULT
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for ETH_VAULT
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function ETH_VAULT
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | State variable assignement do not exist
