[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Analysis started at: 2024-11-10 07:38:52 AM
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | solc version: v0.4.16
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Callgraph generation started!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Value Range Analysis started
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for owned
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for owned
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Range graph generated
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function owned
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for receiveApproval
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for receiveApproval
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function receiveApproval
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for TokenERC20
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for TokenERC20
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Range graph generated
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function TokenERC20
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for _transfer
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for _transfer
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Range graph generated
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function _transfer
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for approve
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for approve
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Range graph generated
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Processed function approve
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Generating return summary for burn
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xc524079859fd32597f257c175c5f9e239c1dd2db | Return summary generated for burn
