[INFO] | 2024-11-10 07:41:59 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Analysis started at: 2024-11-10 07:41:59 AM
[INFO] | 2024-11-10 07:42:02 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Version constraints: ['0.4.25']
[INFO] | 2024-11-10 07:42:02 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | solc version: v0.4.25
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Callgraph generation started!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Callgraph generation finished!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Value Range Analysis started
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Range graph generated
[INFO] | 2024-11-10 07:42:04 AM | analyzer.0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed | Processed function slitherConstructorConstantVariables
