[INFO] | 2024-11-10 07:41:19 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Analysis started at: 2024-11-10 07:41:19 AM
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | solc version: v0.4.19
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for transfer
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for transfer
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function transfer
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for Crowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Range graph generated
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function Crowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Range graph generated
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function onlyOwner
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for getUnsoldTokens
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for getUnsoldTokens
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function getUnsoldTokens
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for getUnsoldTokensWithDecimals
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for getUnsoldTokensWithDecimals
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function getUnsoldTokensWithDecimals
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Range graph generated
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function fallback
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for checkAdmin
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for checkAdmin
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Range graph generated
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function checkAdmin
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Generating return summary for closeCrowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Return summary generated for closeCrowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Range graph generated
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Processed function closeCrowdsale
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Value Range Analysis took 0.003172 seconds
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Value Range Analysis finished
