[INFO] | 2024-11-10 07:40:40 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Analysis started at: 2024-11-10 07:40:40 AM
[INFO] | 2024-11-10 07:40:40 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:40:40 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | solc version: v0.4.25
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function balanceOf
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for transfer
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for transfer
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function transfer
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Range graph generated
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function constructor
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for addressOk
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for addressOk
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function addressOk
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for fallback
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for fallback
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function fallback
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for payment
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for payment
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function payment
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Generating return summary for admin
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Return summary generated for admin
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x25067272880fa0e49f1cebc988a2eed8485343a6 | Processed function admin
