[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Analysis started at: 2024-11-10 07:37:41 AM
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Range graph generated
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Range graph generated
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Generating return summary for safeMul
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x926e81009c2fa4475e1c798a8c43a4f598575c80 | Return summary generated for safeMul
