[INFO] | 2024-11-10 07:40:08 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Analysis started at: 2024-11-10 07:40:08 AM
[INFO] | 2024-11-10 07:40:09 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:40:09 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | solc version: v0.4.23
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Callgraph generation started!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Value Range Analysis started
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function transferFrom
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Range graph generated
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for onlyPendingOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for onlyPendingOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function onlyPendingOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Range graph generated
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function constructor
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function onlyOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Generating return summary for onlyPendingOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Return summary generated for onlyPendingOwner
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:10 AM | analyzer.0xecbed48098c4f25a16195c45ddf5fd736e28b14b | Processed function onlyPendingOwner
