[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Analysis started at: 2024-11-10 07:38:39 AM
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | solc version: v0.4.17
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Range graph generated
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Processed function Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Processed function isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Range graph generated
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Processed function Ownable
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Processed function isOwner
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for initCapsule
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for initCapsule
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Range graph generated
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Processed function initCapsule
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Generating return summary for deposit
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Return summary generated for deposit
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x33b44a1d150f3feaa40503ad20a75634adc39b18 | Range graph generated
