[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Analysis started at: 2024-10-03 06:08:00 AM
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Version constraints: ['^0.5.0']
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | solc version: v0.5.0
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Callgraph generation started!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Callgraph generation finished!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Interprocedural CFG generation started!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Interprocedural CFG generation finished!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Storage dependency graph generation started!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Storage dependency graph generation finished!
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Value Range Analysis started
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Generating return summary for constructor
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Return summary generated for constructor
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Range graph generated
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Processed function constructor
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Generating return summary for withdraw_not_only_owner
[INFO] | 2024-10-03 06:08:00 AM | analyzer.onlyowner_05 | Return summary generated for withdraw_not_only_owner
