[INFO] | 2024-11-10 07:37:38 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Analysis started at: 2024-11-10 07:37:38 AM
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Version constraints: ['0.5.6']
[INFO] | 2024-11-10 07:37:48 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | solc version: v0.5.6
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Range graph generated
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Generating return summary for ecosystemDividends
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Return summary generated for ecosystemDividends
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:56 AM | analyzer.0x0c073c92e7684031cfc297b83ecc33619e864d18 | Processed function ecosystemDividends
