[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Analysis started at: 2024-11-10 07:37:40 AM
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Version constraints: ['^0.4.8']
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | solc version: v0.4.8
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Callgraph generation started!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Value Range Analysis started
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for Owned
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for Owned
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Range graph generated
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Processed function Owned
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for createRound
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for createRound
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Processed function createRound
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Generating return summary for pickTicket
[INFO] | 2024-11-10 07:37:42 AM | analyzer.0x72bf3030e276a96539143551bd8f91aff699bf7c | Return summary generated for pickTicket
