[INFO] | 2024-09-29 03:54:24 AM | analyzer.require_slither_plus_cases | Analysis started at: 2024-09-29 03:54:24 AM
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Version constraints: ['0.4.24']
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | solc version: v0.4.24
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Callgraph generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Callgraph generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Interprocedural CFG generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Interprocedural CFG generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Storage dependency graph generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Storage dependency graph generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Value Range Analysis started
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for slithermine_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for slithermine_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function slithermine_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for slithermine_2
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for slithermine_2
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function slithermine_2
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for buggy_require_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for buggy_require_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function buggy_require_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for slithermine_18
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for slithermine_18
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function slithermine_18
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for slithermine_24
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for slithermine_24
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function slithermine_24
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Generating return summary for slitherConstructorVariables
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Return summary generated for slitherConstructorVariables
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Processed function slitherConstructorVariables
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Value Range Analysis took 0.002803 seconds
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Value Range Analysis finished
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Storage dependency graph compostion started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.require_slither_plus_cases | Storage dependency graph compostion finished!
