[INFO] | 2024-11-10 07:38:28 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Analysis started at: 2024-11-10 07:38:28 AM
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Version constraints: ['0.5.6']
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | solc version: v0.5.6
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Callgraph generation started!
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Value Range Analysis started
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Processed function totalSupply
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Processed function balanceOf
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1f42f986f9ef31d6ef787565b211bce0eb877bcc | Generating return summary for allowance
