[INFO] | 2024-11-10 07:37:33 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Analysis started at: 2024-11-10 07:37:33 AM
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | solc version: v0.4.18
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Callgraph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Value Range Analysis started
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Generating return summary for mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Return summary generated for mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Processed function mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Generating return summary for div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Return summary generated for div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Processed function div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Generating return summary for sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Return summary generated for sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Processed function sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Generating return summary for add
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | Return summary generated for add
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0x71d57fc11e9d85d8ce2b5acc9019af399bf0cbcb | State variable assignement do not exist
