[INFO] | 2024-11-10 07:39:06 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Analysis started at: 2024-11-10 07:39:06 AM
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | solc version: v0.4.25
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for pay
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for pay
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function pay
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for getDeposit
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for getDeposit
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function getDeposit
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for getDepositsCount
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for getDepositsCount
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function getDepositsCount
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for getQueueLength
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for getQueueLength
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function getQueueLength
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Generating return summary for getDeposits
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Return summary generated for getDeposits
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Processed function getDeposits
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Value Range Analysis took 0.003730 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Value Range Analysis finished
