[INFO] | 2024-11-10 07:37:18 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Analysis started at: 2024-11-10 07:37:18 AM
[INFO] | 2024-11-10 07:37:19 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:19 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Processed function transfer
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Range graph generated
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Processed function Ownable
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8 | Return summary generated for onlyOwner
