[INFO] | 2024-11-10 07:37:01 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Analysis started at: 2024-11-10 07:37:01 AM
[INFO] | 2024-11-10 07:37:01 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:01 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for Set
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for Set
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Range graph generated
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function Set
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for changeOwner
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for changeOwner
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function changeOwner
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for kill
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for kill
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function kill
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for withdrawal
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for withdrawal
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Range graph generated
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function withdrawal
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Range graph generated
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function slitherConstructorVariables
