[INFO] | 2024-11-10 07:37:30 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Analysis started at: 2024-11-10 07:37:30 AM
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Processed function transfer
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:31 AM | analyzer.0x92579f2fa430b20bf6ce9d19938fe061aad992e2 | State variable assignement do not exist
