[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Analysis started at: 2024-11-10 07:37:05 AM
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:37:06 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | solc version: v0.4.16
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Callgraph generation started!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Value Range Analysis started
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Generating return summary for owned
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Return summary generated for owned
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Range graph generated
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0xdef5dce5781220efda3f5235cc6e5dd5a08e22bd | Processed function owned
