[INFO] | 2024-11-10 07:37:19 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Analysis started at: 2024-11-10 07:37:19 AM
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for setPeriod
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for setPeriod
