[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Version constraints: ['0.4.21']
[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function allowance
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function transfer
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function approve
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function withdraw
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for buy
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for buy
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function buy
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function Owned
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function acceptOwnership
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for donate
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for donate
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function donate
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for invest
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for invest
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Processed function invest
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Generating return summary for donate
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x9ed484129f09e5a90a13f4e914a0bd6fa08ceba7 | Return summary generated for donate
