[INFO] | 2024-11-10 07:38:49 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Analysis started at: 2024-11-10 07:38:49 AM
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Processed function transfer
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Value Range Analysis took 0.000467 seconds
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Dependency detection started!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Static Analysis took 0.938578 seconds
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Dependency does not exist
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Analysis finished!
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Analysis took 0.938859 seconds
[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x4051334adc52057aca763453820cb0e045076ef3 | Analysis finished at: 2024-11-10 07:38:50 AM
