[INFO] | 2024-11-13 09:23:44 PM | analyzer.bug_cases | Analysis started at: 2024-11-13 09:23:44 PM
[INFO] | 2024-11-13 09:23:47 PM | analyzer.bug_cases | Version constraints: ['0.4.24']
[INFO] | 2024-11-13 09:23:47 PM | analyzer.bug_cases | solc version: v0.4.24
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Callgraph generation started!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Callgraph generation finished!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Interprocedural CFG generation started!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Interprocedural CFG generation finished!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Storage dependency graph generation started!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Storage dependency graph generation finished!
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Value Range Analysis started
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Generating return summary for check_if
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Return summary generated for check_if
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Range graph generated
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Processed function check_if
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Generating return summary for indirect_control_dep_ref
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Return summary generated for indirect_control_dep_ref
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | State variable assignement do not exist
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Processed function indirect_control_dep_ref
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Generating return summary for indirect_control_dep_ref2
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Return summary generated for indirect_control_dep_ref2
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | State variable assignement do not exist
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Processed function indirect_control_dep_ref2
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Generating return summary for require_wbc_1
[INFO] | 2024-11-13 09:23:57 PM | analyzer.bug_cases | Return summary generated for require_wbc_1
