[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Analysis started at: 2024-09-29 03:54:25 AM
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Version constraints: ['0.4.24']
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | solc version: v0.4.24
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Callgraph generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Callgraph generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Interprocedural CFG generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Interprocedural CFG generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Storage dependency graph generation started!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Storage dependency graph generation finished!
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Value Range Analysis started
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Generating return summary for withdraw_multi_call
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Return summary generated for withdraw_multi_call
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | State variable assignement do not exist
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Processed function withdraw_multi_call
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Generating return summary for withdraw_for_loop
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Return summary generated for withdraw_for_loop
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Processed function withdraw_for_loop
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Generating return summary for withdraw_for_loop_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Return summary generated for withdraw_for_loop_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Range graph generated
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Processed function withdraw_for_loop_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Generating return summary for withdraw_while_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Return summary generated for withdraw_while_1
[INFO] | 2024-09-29 03:54:25 AM | analyzer.swc-107-multicall | Range graph generated
