[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Analysis started at: 2024-11-10 07:37:57 AM
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | solc version: v0.4.23
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function constructor
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for GetUser
[WARNING] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for GetUser
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function GetUser
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for TransferToAllAccounts
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for TransferToAllAccounts
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function TransferToAllAccounts
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function transfer
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for transfertoacc
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for transfertoacc
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function transfertoacc
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Range graph generated
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:59 AM | analyzer.0x6a3f85f8a86e7b3de0269c20e9ab066dd57b8e21 | Generating return summary for AddUser
