[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Analysis started at: 2024-11-10 07:39:44 AM
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Version constraints: ['^0.5.1']
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | solc version: v0.5.1
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Range graph generated
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Processed function constructor
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Generating return summary for getAllVotes
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Return summary generated for getAllVotes
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Processed function getAllVotes
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Generating return summary for currentCoefficient
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | Return summary generated for currentCoefficient
[INFO] | 2024-11-10 07:39:46 AM | analyzer.0x064c81842a12127759b85f3b2d261abcacc2bfb0 | State variable assignement do not exist
