[INFO] | 2024-11-10 07:39:21 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Analysis started at: 2024-11-10 07:39:21 AM
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | solc version: v0.4.23
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Callgraph generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Value Range Analysis started
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Processed function transfer
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Processed function balanceOf
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Range graph generated
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Range graph generated
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Processed function fallback
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Value Range Analysis took 0.002254 seconds
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Dependency detection started!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Dependency detection finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Static Analysis took 1.111630 seconds
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Dependency does not exist
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Analysis finished!
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Analysis took 1.111847 seconds
[INFO] | 2024-11-10 07:39:22 AM | analyzer.0x0608d0d987ca8371af38fa0b6e028760110b987e | Analysis finished at: 2024-11-10 07:39:22 AM

real	0m2.713s
user	0m2.938s
sys	0m1.530s
