[INFO] | 2024-11-10 07:37:59 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Analysis started at: 2024-11-10 07:37:59 AM
[INFO] | 2024-11-10 07:38:01 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Version constraints: ['0.4.23']
[INFO] | 2024-11-10 07:38:01 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | solc version: v0.4.23
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:02 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Processed function mul
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Generating return summary for div
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Return summary generated for div
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Processed function div
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Processed function sub
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Generating return summary for add
[INFO] | 2024-11-10 07:38:03 AM | analyzer.0xdb8459034fc97eed3d43172909e1d353e9f4d282 | Return summary generated for add
