[INFO] | 2024-11-10 07:37:02 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Analysis started at: 2024-11-10 07:37:02 AM
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Processed function transfer
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49 | Processed function balanceOf
