[INFO] | 2024-11-10 07:38:54 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Analysis started at: 2024-11-10 07:38:54 AM
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | solc version: v0.4.13
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Callgraph generation started!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Value Range Analysis started
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Range graph generated
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Processed function constructor
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:38:55 AM | analyzer.0xd72d254737ab0a8de2ac43ba95557885ed13bbfd | Range graph generated
