[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Analysis started at: 2024-11-10 07:38:47 AM
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Callgraph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Value Range Analysis started
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for p_bank
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for p_bank
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function p_bank
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for slitherConstructorVariables
