[INFO] | 2024-11-10 07:38:28 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Analysis started at: 2024-11-10 07:38:28 AM
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:29 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Processed function transfer
[INFO] | 2024-11-10 07:38:30 AM | analyzer.0xdd654450e2ef8f672ef297ea3ff9aabea2e22840 | Generating return summary for setPeriod
