[INFO] | 2024-11-10 07:42:30 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Analysis started at: 2024-11-10 07:42:30 AM
[INFO] | 2024-11-10 07:42:31 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:42:31 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | solc version: v0.4.21
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Callgraph generation started!
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Callgraph generation finished!
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Value Range Analysis started
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for transfer
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for transfer
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function transfer
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for buy
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for buy
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function buy
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function withdraw
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for myTokens
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for myTokens
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function myTokens
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for myDividends
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for myDividends
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function myDividends
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for Owned
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for Owned
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Range graph generated
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Processed function Owned
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Generating return summary for acceptOwnership
[INFO] | 2024-11-10 07:42:32 AM | analyzer.0x099764910a38190bbd317857e635e6f461b11119 | Return summary generated for acceptOwnership
