[INFO] | 2024-11-10 07:44:21 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Analysis started at: 2024-11-10 07:44:21 AM
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | solc version: v0.4.17
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Callgraph generation started!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Callgraph generation finished!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Value Range Analysis started
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function mul
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function div
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function sub
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function add
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for initOwner
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for initOwner
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function initOwner
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for initOwner1
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for initOwner1
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function initOwner1
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for fallback
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for fallback
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function fallback
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for deposit
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for deposit
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function deposit
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for calculateInterest
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for calculateInterest
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function calculateInterest
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for payout
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for payout
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function payout
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for currentBalance
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for currentBalance
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function currentBalance
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Range graph generated
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:44:22 AM | analyzer.0xfcdd6d4f2cfb7cea900c4a57282cffcf3e41e068 | Generating return summary for Interestv3
