[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Analysis started at: 2024-11-10 07:38:49 AM
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | solc version: v0.4.11
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Callgraph generation started!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Value Range Analysis started
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Generating return summary for mul
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Return summary generated for mul
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Processed function mul
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Generating return summary for div
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Return summary generated for div
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Processed function div
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Generating return summary for sub
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Return summary generated for sub
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Processed function sub
[INFO] | 2024-11-10 07:38:52 AM | analyzer.0xd1265bfe57597840f89971b7e67538bac780f9ad | Generating return summary for add
