[INFO] | 2024-11-10 07:37:03 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Analysis started at: 2024-11-10 07:37:03 AM
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:37:04 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | solc version: v0.4.11
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Processed function transfer
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for purchase
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for purchase
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Range graph generated
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Processed function purchase
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Range graph generated
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for pwner
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for pwner
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Processed function pwner
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Generating return summary for withdrawTokens
[INFO] | 2024-11-10 07:37:05 AM | analyzer.0xafc36ac17c5d84504064f944b27292e795d03398 | Return summary generated for withdrawTokens
