[INFO] | 2024-11-10 07:38:23 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Analysis started at: 2024-11-10 07:38:23 AM
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | solc version: v0.4.21
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for DecentralizedExchangeHotPotato
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for DecentralizedExchangeHotPotato
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Range graph generated
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function DecentralizedExchangeHotPotato
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for name
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for name
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function name
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for isAdmin
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for isAdmin
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function isAdmin
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for totalOrder
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for totalOrder
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function totalOrder
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for allOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for allOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function allOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for isContract
[WARNING] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Can there be this kind of variables
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for isContract
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function isContract
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for getNextPrice
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for getNextPrice
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function getNextPrice
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for onlyAdmins
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for onlyAdmins
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function onlyAdmins
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for ownerOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for ownerOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function ownerOf
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function transferFrom
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function transfer
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for buy
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Return summary generated for buy
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Range graph generated
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Processed function buy
[INFO] | 2024-11-10 07:38:25 AM | analyzer.0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407 | Generating return summary for setOwner
